Gene	GSM346111	GSM346114	GSM346115	GSM346116	GSM346117	GSM346118	GSM346120	GSM346122	Mean_Expression
YBL063W	7.057	5.323	11.396	10.133	11.767	11.672	12.576	14.626	10.568750000000001
YBL064C	60.532	49.121	236.548	181.02	57.714	45.861	180.533	197.088	126.05212499999999
YBL066C	2.39	2.3	4.412	4.69	4.995	4.175	6.086	5.735	4.347875
YBL067C	14.158	16.104	20.325	17.242	38.35	34.694	34.266	34.293	26.179
YBL068W	86.6	85.594	29.579	27.84	153.749	154.622	82.784	61.041	85.226125
YBL069W	36.007	34.38	20.61	18.211	46.401	40.208	25.271	19.546	30.079250000000002
YBL071C-B	0.0	0.0	0.0	0.0	68.225	41.93	23.09	12.501	18.21825
YBL071W-A	190.038	166.854	60.623	58.588	134.521	143.977	74.331	48.628	109.69500000000001
YBL074C	6.054	8.303	10.666	13.285	42.504	35.885	25.065	22.814	20.572
YBL075C	3.017	6.502	27.933	26.619	43.42	34.423	48.387	39.673	28.74675
YBL076C	383.751	376.673	257.857	255.822	224.415	228.861	250.518	200.837	272.34175
YBL078C	54.587	48.126	188.779	341.478	46.455	35.688	137.57	189.16	130.230375
YBL079W	17.884	19.623	9.557	10.975	35.592	30.668	24.04	21.179	21.18975
YBL080C	2.532	4.482	7.01	7.829	25.396	32.95	31.515	39.038	18.844
YBL082C	16.227	15.875	9.195	11.019	38.976	50.16	42.279	25.332	26.132875
YBL085W	28.794	16.591	28.418	23.303	30.652	35.854	34.447	34.585	29.0805
YBL086C	15.11	16.056	20.787	42.625	43.221	42.661	44.881	53.098	34.804875
YBL088C	0.845	1.024	1.819	1.523	7.331	6.817	5.575	6.842	3.972
YBL089W	14.062	8.494	12.845	16.316	59.833	68.233	41.344	45.986	33.389125
YBL090W	65.92	82.871	94.629	118.888	228.835	173.295	145.758	154.69	133.11075
YBL091C	132.823	133.116	153.003	202.955	124.447	96.633	174.726	165.299	147.87525000000002
YBL091C-A	18.439	34.77	67.0	72.904	31.015	32.598	91.277	72.481	52.5605
YBL092W	9350.547	8949.587	4471.806	3809.798	3515.159	3352.927	1966.077	1575.909	4623.97625
YBL093C	67.301	55.344	83.9	86.243	370.961	303.557	189.376	177.846	166.816
YBL095W	7.948	7.397	14.003	10.826	122.596	109.468	51.507	53.708	47.181625
YBL097W	12.728	9.657	11.187	12.541	23.405	23.164	37.549	30.633	20.108
YBL098W	24.661	25.199	36.622	35.392	78.609	84.801	142.285	116.084	67.956625
YBL099W	280.078	283.033	471.645	496.164	96.219	87.281	182.02	159.37	256.97625
YBL101C	11.406	8.32	24.56	29.505	10.061	7.908	20.153	16.68	16.074125000000002
YBL102W	67.948	57.598	122.901	119.907	232.166	248.015	450.281	418.292	214.6385
YBL103C	20.931	14.964	24.268	21.444	51.81	43.999	49.416	41.426	33.53225
YBL104C	8.307	6.103	8.538	6.601	19.442	16.022	25.049	19.971	13.754125000000002
YBL105C	20.095	21.378	25.302	24.24	21.123	23.595	28.326	34.323	24.79775
YBL106C	4.851	3.659	5.014	2.584	10.671	12.93	6.916	8.321	6.86825
YBL107C	41.708	47.618	47.043	61.997	142.928	139.022	108.151	134.852	90.414875
YBR001C	13.812	14.612	24.874	33.236	25.859	23.959	57.184	67.305	32.605125
YBR002C	19.789	27.573	20.571	22.72	170.872	138.057	106.743	83.396	73.715125
YBR003W	16.128	17.379	25.824	39.242	43.551	42.825	50.77	58.521	36.78
YBR004C	17.612	18.735	27.228	17.292	30.121	41.57	23.25	16.784	24.073999999999998
YBR005W	24.689	29.067	31.504	47.953	84.529	81.104	61.563	79.079	54.936
YBR006W	7.479	8.483	44.076	58.324	20.728	28.497	67.813	96.218	41.45225
YBR007C	9.314	9.319	10.887	9.525	20.551	19.009	16.861	14.644	13.763750000000002
YBR008C	0.357	0.0	0.769	1.486	22.565	23.97	14.85	19.653	10.45625
YBR011C	1966.566	1942.124	2704.443	2612.249	408.99	331.557	986.982	947.713	1487.578
YBR013C	27.04	21.044	51.756	72.527	22.852	22.327	62.468	42.947	40.370125
YBR014C	59.464	91.462	148.694	200.385	228.944	171.972	315.256	321.488	192.208125
YBR015C	69.512	52.467	64.249	43.396	37.216	37.571	48.045	39.838	49.03675000000001
YBR016W	172.577	109.293	293.374	351.573	81.485	60.966	134.892	125.507	166.20837500000002
YBR017C	51.653	47.839	32.631	33.046	66.185	72.654	75.23	60.257	54.936875
YBR018C	0.0	0.0	0.0	0.444	8.746	11.006	6.343	16.789	5.416
YBR019C	0.56	0.302	1.206	1.632	0.983	1.477	1.664	4.005	1.478625
YBR020W	0.0	0.0	0.0	0.0	0.434	3.731	2.202	2.384	1.093875
YBR021W	1.237	4.666	8.658	3.604	13.029	10.528	27.559	17.021	10.78775
